交易编号,策略类型,包含关系,方向,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓时长,价格变动%,合约收益%,盈亏USDT,累计资金USDT,结果,跟踪止损激活,弱势收紧,最高价,最低价,跟踪止损价,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘,K3开盘,K3最高,K3最低,K3收盘
1,rule1,否,做多,2024-12-29 20:00,3402.50,2025-01-02 18:15,3474.68,377,5655分钟,2.121%,297.00%,2.9700,2.9700,止盈,是,是,3476.00,,,3406.41,3407.92,3397.84,3398.36,3398.37,3403.38,3395.00,3402.50,,,,
2,rule1,否,做多,2024-12-30 04:30,3349.71,2024-12-30 09:15,3428.67,19,285分钟,2.357%,330.00%,5.2800,8.2500,止盈,否,否,3430.87,,,3354.28,3354.28,3335.75,3342.45,3342.44,3351.52,3335.00,3349.71,,,,
3,rule1,否,做多,2024-12-30 13:00,3399.19,2025-01-02 18:00,3471.30,308,4620分钟,2.121%,297.00%,4.7520,13.0020,止盈,是,是,3472.97,,,3404.29,3406.64,3391.20,3391.60,3391.60,3402.00,3388.60,3399.19,,,,
4,rule1,否,做多,2024-12-30 15:30,3422.57,2025-01-02 22:30,3495.18,316,4740分钟,2.121%,297.00%,2.9700,15.9720,止盈,是,是,3509.99,,,3424.23,3427.08,3412.81,3414.68,3414.69,3424.63,3409.44,3422.57,,,,
5,rule1,否,做多,2024-12-31 00:00,3329.82,2024-12-31 01:45,3408.31,7,105分钟,2.357%,330.00%,3.3000,19.2720,止盈,否,否,3408.56,,,3331.80,3343.98,3321.72,3324.16,3324.16,3334.00,3317.50,3329.82,,,,
6,rule1,否,做空,2024-12-31 14:15,3356.82,2025-01-03 22:15,3389.23,320,4800分钟,-0.965%,-135.15%,-1.3515,17.9205,止损,是,是,,3313.88,3512.71,3344.33,3359.23,3339.85,3351.70,3351.70,3363.42,3349.61,3356.82,,,,
7,rule1,否,做空,2025-01-02 18:15,3471.17,2025-01-04 03:30,3504.68,133,1995分钟,-0.965%,-135.15%,-1.3515,16.5690,止损,是,是,,3421.79,3627.10,3467.94,3472.97,3457.99,3458.99,3459.00,3476.00,3458.99,3471.17,,,,
8,rule1,否,做多,2025-01-02 23:00,3485.62,2025-01-03 23:45,3559.56,99,1485分钟,2.121%,297.00%,4.7520,21.3210,止盈,是,是,3576.00,,,3479.76,3498.00,3478.50,3495.19,3495.15,3496.26,3478.36,3485.62,,,,
9,rule1,否,做多,2025-01-03 01:00,3477.66,2025-01-03 23:30,3551.44,90,1350分钟,2.121%,297.00%,4.7520,26.0730,止盈,是,是,3557.46,,,3483.49,3483.62,3468.18,3469.54,3469.54,3478.80,3466.50,3477.66,,,,
10,rule1,否,做多,2025-01-04 05:00,3606.67,2025-01-06 10:30,3683.18,214,3210分钟,2.121%,297.00%,2.9700,29.0430,止盈,是,是,3684.03,,,3608.88,3611.20,3600.00,3600.57,3600.57,3611.42,3595.00,3606.67,,,,
11,rule1,否,做多,2025-01-04 16:00,3603.61,2025-01-06 10:00,3680.06,168,2520分钟,2.121%,297.00%,2.9700,32.0130,止盈,是,是,3682.28,,,3603.45,3604.92,3593.20,3594.04,3594.05,3603.62,3592.21,3603.61,,,,
12,rule1,否,做多,2025-01-04 20:45,3635.52,2025-01-06 23:45,3712.64,204,3060分钟,2.121%,297.00%,2.9700,34.9830,止盈,是,是,3714.49,,,3635.97,3643.71,3626.79,3627.98,3627.99,3638.71,3622.52,3635.52,,,,
13,rule1,否,做空,2025-01-04 21:15,3638.49,2025-01-07 22:45,3561.30,294,4410分钟,2.121%,297.00%,2.9700,37.9530,止盈,是,是,,3532.41,,3635.53,3647.59,3626.32,3644.14,3644.22,3649.04,3634.18,3638.49,,,,
14,rule1,否,做多,2025-01-06 11:00,3665.92,2025-01-07 00:30,3743.69,54,810分钟,2.121%,297.00%,2.9700,40.9230,止盈,是,是,3744.83,,,3668.82,3672.68,3657.77,3658.46,3658.45,3669.93,3654.30,3665.92,,,,
15,rule1,否,做空,2025-01-06 22:30,3640.21,2025-01-07 22:45,3562.99,97,1455分钟,2.121%,297.00%,2.9700,43.8930,止盈,是,是,,3532.41,,3642.23,3643.37,3622.10,3634.23,3634.23,3651.52,3630.94,3640.21,,,,
16,rule1,否,做空,2025-01-07 08:30,3680.55,2025-01-07 22:45,3602.47,57,855分钟,2.121%,297.00%,2.9700,46.8630,止盈,是,是,,3532.41,,3677.50,3688.33,3673.04,3687.46,3687.47,3693.67,3679.01,3680.55,,,,
17,rule1,否,做多,2025-01-07 11:00,3683.14,2025-01-07 23:30,3647.58,50,750分钟,-0.965%,-135.15%,-1.3515,45.5115,止损,是,是,3686.55,,3465.36,3686.03,3687.00,3676.00,3678.07,3678.07,3688.68,3674.24,3683.14,,,,
18,rule1,否,做空,2025-01-08 00:30,3484.90,2025-01-08 03:30,3402.76,12,180分钟,2.357%,330.00%,3.3000,48.8115,止盈,否,否,,3372.71,,3472.11,3485.59,3465.36,3480.01,3480.01,3491.70,3472.72,3484.90,,,,
19,rule1,否,做空,2025-01-08 02:00,3449.53,2025-01-08 04:30,3368.22,10,150分钟,2.357%,330.00%,3.3000,52.1115,止盈,否,否,,3366.00,,3451.60,3453.00,3420.00,3442.55,3442.56,3458.96,3440.05,3449.53,,,,
20,rule1,否,做空,2025-01-08 05:15,3400.55,2025-01-08 14:30,3320.39,37,555分钟,2.357%,330.00%,5.2800,57.3915,止盈,否,否,,3314.17,,3396.61,3408.99,3390.01,3407.89,3407.90,3414.04,3397.62,3400.55,,,,
21,rule1,否,做多,2025-01-08 06:00,3378.75,2025-01-09 01:30,3346.13,78,1170分钟,-0.965%,-135.15%,-5.4060,51.9855,止损,是,是,3415.10,,3210.19,3383.35,3386.21,3361.77,3363.32,3363.31,3385.16,3356.31,3378.75,,,,
22,rule1,否,做空,2025-01-08 18:30,3357.85,2025-01-09 01:00,3278.70,26,390分钟,2.357%,330.00%,13.2000,65.1855,止盈,否,否,,3256.29,,3354.99,3373.32,3350.89,3372.93,3372.93,3373.37,3357.36,3357.85,,,,
23,rule1,否,做空,2025-01-08 19:45,3349.79,2025-01-09 01:00,3270.83,21,315分钟,2.357%,330.00%,3.3000,68.4855,止盈,否,否,,3256.29,,3350.36,3351.67,3323.00,3341.11,3341.17,3356.07,3340.62,3349.79,,,,
